[67; 'und das Geheimnis der Särge'; 'Haarsträubende Dinge erzählt man sich von den berühmten Höhlenlabyrinthen auf der schwäbischen Alb; aber natürlich ist davon nur die Hälfte wahr. Doch Justus; Peter und Bob; die drei Junior-Detektive aus Rocky Beach; beginnen an Spukgeschichten zu glauben; als sie in der Geisterhöhle urplötzlich eine grausige Entdeckung machen...'; 'Die drei ???; Folge 67\nund das Geheimnis der Särge'; 'Veröffentlichungsdatum: 01.04.1996'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nBabette Eberle - M. Rospat\nBruder Benedikt - Tassilo Jelde\nMylná - Utz Richter\nAlexandra - Reinhilt Schneider\nWirt - Hans Paetsch\nWirtin - Ingeborg Ottmann\nMax - Lutz Schnell\n1. Polizist - Boris Sychowsky\n2. Polizist - Frank Meyer-Brockmann']
[68; 'und der Schatz im Bergsee'; 'Eine brenzlige Situation für Justus; Peter und Bob: Ihr Rundflug über die Schweizer Alpen endet jäh mit einer Bruchlandung. Der Pilot ist bewußtlos; das Funkgerät zerstört. Plötzlich landet ein Helikopter neben ihnen. Bewaffnete Männer fesseln und knebeln Bob; und die drei ??? müssen hilflos zusehen; wie die Gangster das Flugzeugwrack durchsuchen. Wenig später verschwinden sie wieder. Die drei Junior-Detektive können sich in Sicherheit bringen. Doch dann kommen die Gangster zurück.'; 'Die drei ???; Folge 68\nund der Schatz im Bergsee'; 'Veröffentlichungsdatum: 02.04.1996'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nJerzy - Michael Bideller\nMariana - Antje Roosch\n1. Mann - Nico König\n2. Mann - Lutz Schnell']
[69; 'Späte Rache'; 'Wir haben Peter! Er muß für alles bezahlen! Ein anonymer Brief schreckt Justus und Bob auf. Eigene Nachforschungen nach dem Schicksal ihres Zweiten Detektivs bleiben ergebnislos; deshalb wenden sie sich hilfesuchend an die Polizei von Rocky Beach. Ihr Freund Inspektor Cotta schlägt vor; eine Polizeipsychologin hinzuzuziehen. Sie soll aus dem Bekennerschreiben Hinweise auf den Charakter des Täters herauslesen. Und tatsächlich kommt die Expertin zu einem überraschenden Schluß: Hinter der Entführung steckt ein lange zurückliegender Fall der drei Detektive. Justus und Bob durchforsten ihr umfangreiches Archiv. Denn die Zeit läuft...'; 'Die drei ???; Folge 69\nSpäte Rache'; 'Veröffentlichungsdatum: 05.08.1996'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nErna Fiedler - Ursula Gompf\nDr. Ferguson - Antje Cornelius\nTante Mathilda - Karin Lieneweg\nOnkel Titus - Hans Meinhardt\nInspektor Cotta - Holger Mahlich\nKelly - Juliane Szalay\nJohn Brady - Dirk Anton\nMatt Brady - Volker Bogdan\nMr. Andrews - Günter König\nMr. Shaw - Eberhard Haar\nMrs. Shaw - Heikedine Körting\nGodween - André Minninger']
[70; 'Schüsse aus dem Dunkel'; 'Mit einer flotten Bühnenshow präsentiert die erfolgreiche Modedesignerin Sally Samson ihre neue Kollektion. Bei der Westernmode passiert es: Ein Model bricht; von einem Schuß getroffen; zusammen. Ein kaltblütiger Anschlag? Wem war die junge Frau im Weg? Oder war es ein Ablenkungsmanöver? Gibt es eine Verbindung zwischen dem Schuß und den geraubten Entwürfen aus Sally Samsons Tresor? Für Justus; Peter und Bob; die drei erfolgreichen Detektive aus Rocky Beach; gibt es nur eine Möglichkeit; dem Täter auf die Spur zu kommen: Sie müssen sich als Model bewerben.'; 'Die drei ???; Folge 70\nSchüsse aus dem Dunkel'; 'Veröffentlichungsdatum: 05.08.1996'; 'Hitchcock; Erzähler: Matthias Fuchs\nJustus Jonas; Erster Detektiv: Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv: Jens Wawrczeck\nBob Andrews; Recherchen und Archiv: Andreas Fröhlich\nAlan: Oliver Reinhardt\nSally Samson: Cornelia Meinhardt\nSofie Samson: Samira Chanfir\nDr. Harris: Hansi Jochmann\nJohn Davis: Tim Wieck\nHomer Washington: Hans Sievers\nFahrer: Klaus-Peter Kaehler\nBrenda: Micaela Kreißler\nInspektor Cotta: Holger Mahlich\nJunge: Jona Mues ']
[71; 'Die verschwundene Seglerin'; 'Was geschah mit Irma Bannister? Von einem Segelausflug mit Freunden kehrte die beliebte Antiquitätenhändlerin ich mehr zurück. Doch die Trauer der Hinterbliebenen hält sich in Grenzen. Die drei Detektive aus Rocky Beach wittern einen brisanten Fall und nehmen die Fährte auf. Doch ihre Recherchen enden in einer Sackgasse; die Betroffenen schweigen. Was ist tatsächlich passiert?'; 'Die drei ???; Folge 71\nDie verschwundene Seglerin'; 'Veröffentlichungsdatum: 07.10.1996'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nMr. Andrews - Günter König\nOnkel Titus - Hans Meinhardt\nTante Mathilda - Karin Lieneweg\nInspektor Cotta - Holger Mahlich\nMrs. Lu Kwan - Susanne von Loessel\nJefferson - Christian Redl\nDimitrios; Bankdirektor - Wilhelm Wieben\nDan Jordan; Reporter - Michael Lott\nOlivia - Eva Weißmann\nSantoria - Holger Ohlendieck\nPertier - Johann Herstermann\nSergeant - Ingvar Jensen\nIrma - Konstanze Ulmer']
[72; 'Dreckiger Deal'; 'Kings Café ist für die Schülerinnen und Schüler der High School von Rocky Beach ein beliebter Treffpunkt: Der freundliche Besitzer Malcolm King hat immer ein offenes Ohr für sie und hilft; wo er kann. Deshalb ist es ein großer Schock für sie; als King plötzlich verhaftet wird. Die Polizei hat in seinem Laden Rauschgift gefunden. Justus; Peter und Bob; die drei jungen Detektive; wollen King helfen. Aber sie wissen nicht; worauf sie sich da eingelassen haben.'; 'Die drei ???; Folge 72\nDreckiger Deal'; 'Veröffentlichungsdatum: 07.10.1996'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nLaura McLaughin - Marianne Kehlau\nMalcolm King - Jörg Gillner\nLansana King - Sabine Hahn\nHester Dalton - Marianne Bernhardt\nBillie - Stefan Conradi\nPolizist - Oliver Reinhardt\nWachmann - Dieter Ohlendieck\n2. Wächter - Michael Lott\n1. Polizist - Torben Liebrecht\n2. Polizist - Rene Spiegelberger\nKellnerin - Doris Jahn\nKundin - Susann Jarling']
[73; 'Poltergeist'; 'Unheimliches geschieht im Haus von Mrs. Cartier: Klopfzeichen ertönen; Möbel bewegen sich; Tassen fliegen durch die Luft. Ein Fall ganz nach dem Geschmack von Justus; Peter und Bob! Die anfängliche Begeisterung der Detektive verwandelt sich aber bald in Angst und Entsetzen. Treibt da tatsächlich ein Poltergeist sein Unwesen? Eine natürliche Erklärung für die Phänomene scheint es nicht zu geben...'; 'Die drei ???; Folge 73\nPoltergeist'; 'Veröffentlichungsdatum: 10.02.1997'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nMrs. Madigan - Anne Marks-Rocke\nEathon Easton; ihr Untermieter - Helmo Liebig\nMrs. Lydia Cartier - Gerda Gmelin\nSigourney; ihr Dienstmädchen - Susanne Beck\nKelly - Juliane Szalay\nInspektor Kershaw - Frank Felicetti\nHugenay - Hans Irle\nMuseumswärterin - Marianne Kehlau']
[74; 'und das brennende Schwert'; 'Onkel Titus hat allen Grund zur Freude: Er wird zu einer Testamentsvollstreckung eingeladen! Doch statt der erhofften Millionen erbt er einen wertlosen roten Kristall; den er an einen gewissen Beany weitergeben soll. Wer aber ist dieser Beany? Die drei ??? nehmen die Ermittlung auf. Ein anonymer Anrufer bringt sie auf die Spur eines gefährlichen Geheimbundes. Und plötzlich geraten Justus; Peter und Bob in einen atemberaubenden Strudel aus Besessenheit; Wahnsinn und Aberglaube.'; 'Die drei ???; Folge 74\nund das brennende Schwert'; 'Veröffentlichungsdatum: 10.02.1997'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nOnkel Titus Jonas - Hans Meinhardt\nTante Mathilda Jonas - Karin Lieneweg\nMr. Whitehead - Uwe Friedrichsen\nSteven Robinshaw; Anwalt - Helmo Liebig\nInspektor Cotta - Holger Mahlich\nMary - Victoria Voncampe\nStan - Georg Tryphon\nJeffrey - Michael Quiatkowsky\nJohn - Andreas Martens\nDr. Wright - Dietmar Mues\nCarrie Hanson - Helga Osten-Sacken\nTim Conrad - Moritz Gentsch']
[75; 'Die Spur des Raben'; 'Peter traut seinen Augen nicht: Am frühen Abend klettert ein schwarzer Schatten auf dem Dach des Hotels herum. Instinktiv reißt Peter die Kamera hoch und drückt ab.- Was er wenig später in den Händen hält ist eine Sensation: die erste Aufnahme des Raben; des dreisten Juwelendiebes von Los Angeles. Doch mit der Veröffentlichung der Photos wird der unheimliche Balancekünstler auf die drei Jungs aus Rocky Beach aufmerksam. Er führt sie in die Irre. Ein mörderischer Wettlauf mit der Zeit beginnt.'; 'Die drei ???; Folge 75\nDie Spur des Raben'; 'Veröffentlichungsdatum: 14.07.1997'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nMrs. Shaw - Heikedine Körting\nAmanda Black - Beate Hasenau\nDetective Gregston - Wolf-Dietrich Berg\nNora Sethons - Ursula Sieg\nMrs. Aston - J.S.\nMr. Krieger - Jörg Gillner\nLisa Manninger - Katja Stichel']
[76; 'Stimmen aus dem Nichts'; 'Meine Schwester will mich in den Tod treiben! Die alte Dame; die neben Justus im Wartezimmer sitzt; ist am Rande eines Nervenzusammenbruchs. Der erste Detektiv wittert einen neuen Fall für die drei ??? und bietet seine Hilfe an. Doch was er dann erfährt; läßt ihn erbleichen. Mrs. Holligan wird von ihrer Schwester bedroht; verfolgt; in den Wahnsinn getrieben. Doch ihre Schwester wurde vor drei Monaten beerdigt. Justus; Peter und Bob müssen sich bei der Aufklärung des Falles beeilen. Mrs. Holligan ist schwer herzkrank; jede neue Attacke kann ihrem Leben ein Ende setzen. Doch wer steckt wirklich hinter den mysteriösen Stimmen aus dem Jenseits?'; 'Die drei ???; Folge 76\nStimmen aus dem Nichts'; 'Veröffentlichungsdatum: 08.09.1997'; 'Hitchcock; Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nAbigail Holligan - Katharina Brauren\nMetzla Holligan - Beate Hasenau\nDr. Franklin - Judy Winter\nDr. Miller - Marianne Kehlau\nMrs. Petersen - Victoria Voncampe\nSekretariat - "Fettes Brot"\nMr. Brian - Peter Schubert\nMrs. Dream - Petra Ehlers\nJack Cliffwater - Thomas Schüler']
[78; 'Das leere Grab'; ''; 'Die drei ???; Folge 78\nDas leere Grab'; 'Veröffentlichungsdatum: 12.01.1998'; 'Erzähler Matthias Fuchs\nJustus Jonas; Erster Detektiv Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv Jens Wawrczeck\nBob Andrews; Recherchen und Archiv Andreas Fröhlich\nMathilda Jonas - Karin Lieneweg\nTitus Jonas - Hans Meinhardt\nAlbert Hitfield - Manfred Steffen\nMorton; Chauffeur - Andreas von der Meden\nLys - Kerstin Draeger\nJ.J. - Gregor Reisch\nJulius Jonas - Wolfgang Kaven\nCatherine Jonas - Anne Moll\nArturo - Carlos Goiach\nAutovermieter - Richard Ems']
[79; 'Im Bann des Voodoo'; 'Eine Strohpuppe; deren Anblick Herzrasen und Atemnot auslöst; uralte Rituale und magische Kulte und das mitten im sonnigen Kalifornien! Al Parker; der erfolgreiche Musikproduzent; kann darüber nur lachen. Doch dann gerät er selbst in den Bannkreis des Voodoo: die Untoten fordern seinen Tod. Justus; Peter und Bob; die drei Detektive aus Rocky Beach; tun ihr Bestes; aber sie kämpfen gegen einen mächtigen Gegner.'; 'Die drei ???; Folge 79\nIm Bann des Voodoo'; 'Veröffentlichungsdatum: 09.03.1998'; 'Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nAl Parker; Musikproduzent - Lennardt Krüger\nWilliam Needle - Nico König\nStevens - Lothar Behrendt\nBart - Doktor Renz\nLuke - Schiffmeister\nFrank - König Boris\nJoan; Visagistin - Alida Gundlach\nJeffrey - Niko Minninger\nHank - Harvey Draeger\nBilly - Sven Stricker\nAngestellter - Jens Herrndorff']
[80; 'Geheimakte Ufo'; 'Bob und Peter stockt der Atem. Durch die Bäume schimmert unwirklich grelles Licht - ein Raumschiff ist in den Wäldern um Rocky Beach gelandet. Für Peter steht fest: Die Außerirdischen übernehmen die Macht auf der Erde! Justus; der Kopf des Detektivtrios; reagiert gelassen auf die Ufo-Berichte seiner Freunde. Doch dann taucht ein weiterer Augenzeuge auf und der Erste Detektiv wird stutzig. Nochmals untersuchen Die drei ??? den Landeplatz des Raumschiffs; ohne zu ahnen; das sie bereits erwartet werden . . .'; 'Die drei ???; Folge 80\nGeheimakte Ufo'; 'Veröffentlichungsdatum: 11.05.1998'; 'Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nCosma - Elke Reissert\nVladimir Contreras - Gerhart Hinze\nRoger Carpenter - Igmar Frentzen']
[81; 'Verdeckte Fouls'; 'Erfolgreiche Wochen liegen hinter einem deutschen Fußball-Team. Nun wollen sich die Spieler unter der Sonne Kaliforniens auf die Rückrunde vorbereiten. Aber schon bald wird die Harmonie durch merkwürdige Vorgänge erschüttert: Ein Unbekannter treibt in den Mannschaftsräumen sein böses Spiel. Welches Ziel verfolgt er mit dem Zerschneiden von Trikots und dem Aufsprayen von geheimnisvoller Symbole? Die drei ??? nehmen die Ermittlungen auf.'; 'Die drei ???; Folge 81\nVerdeckte Fouls'; 'Veröffentlichungsdatum: 08.06.1998'; 'Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nKelly Madigan - Juliane Szalay\nDaElba - Ozanan Rocha\nAlberto - Antonio Luz\nMr. Toll - Balduin Baas\nFranke - Wolfgang Noack\nMr. Andrews - Günter König\nMr. Burt - Gerd Baltus\nBoris - Carlos Goiach\nPapagei - Heikedine Körting']
[81; 'Verdeckte Fouls'; 'Erfolgreiche Wochen liegen hinter einem deutschen Fußball-Team. Nun wollen sich die Spieler unter der Sonne Kaliforniens auf die Rückrunde vorbereiten. Aber schon bald wird die Harmonie durch merkwürdige Vorgänge erschüttert: Ein Unbekannter treibt in den Mannschaftsräumen sein böses Spiel. Welches Ziel verfolgt er mit dem Zerschneiden von Trikots und dem Aufsprayen von geheimnisvoller Symbole? Die drei ??? nehmen die Ermittlungen auf.'; 'Die drei ???; Folge 81\nVerdeckte Fouls'; 'Veröffentlichungsdatum: 08.06.1998'; 'Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nKelly Madigan - Juliane Szalay\nDaElba - Ozanan Rocha\nAlberto - Antonio Luz\nMr. Toll - Balduin Baas\nFranke - Wolfgang Noack\nMr. Andrews - Günter König\nMr. Burt - Gerd Baltus\nBoris - Carlos Goiach\nPapagei - Heikedine Körting']
[83; 'Meuterei auf hoher See'; 'Statt sich bei einem gemütlichen Segeltörn im pazifischen Ozean die Sonne auf den Bauch brennen zu lassen; geraten Justus; Peter und Bob; die drei Detektive aus Rocky Beach; auf hoher See in eine Meuterei. Binnen Minuten gerät das Forschungsschiff Wavedancer in Gewalt eines fanatischen Wissenschaftlers. Unter seinem Kommando steuert das Schiff in unbekannte Gewässer.'; 'Die drei ???; Folge 83\nMeuterei auf hoher See'; 'Veröffentlichungsdatum: 08.02.1999'; 'Erzähler - Matthias Fuchs\nJustus Jonas; Erster Detektiv - Oliver Rohrbeck\nPeter Shaw; Zweiter Detektiv - Jens Wawrczeck\nBob Andrews; Recherchen und Archiv - Andreas Fröhlich\nKäptn Jason - F.J. Steffens\nProfessor Clark - Erich Krieg\nCarol Ford; Fernsehjournalistin - Claudia Schermutzki\nDr. Helprin; Wissenschaftler - Rudolf Herget\nMr. Evans - Peter Groß\nEnrique Serra - Jörg Gillner\nMr. Andrews - Roland Becker']
